Vernier Format 2
1.txt 5/5/2018 10:31:59
Měření 1
Čas	Čidlo O2	
Č	Č	
min	%
0.0 19.89
0.12	19.89
0.18	19.89
0.3	19.89
0.42	19.89
0.48	19.89
0.6	19.89
0.72	19.89
0.78	19.89
0.9	19.88
1.02	19.87
1.08	19.88
1.2	19.87
1.32	19.88
1.38	19.88
1.5	19.87
1.62	19.86
1.68	19.87
1.8	19.86
1.92	19.86
1.98	19.86
2.1	19.86
2.22	19.85
2.28	19.85
2.4	19.85
2.52	19.85
2.58	19.85
2.7	19.85
2.82	19.84
2.88	19.84
3.0	19.84
3.12	19.84
3.18	19.84
3.3	19.84
3.42	19.84
3.48	19.85
3.6	19.84
3.72	19.84
3.78	19.84
3.9	19.84
4.02	19.84
4.08	19.84
4.2	19.84
4.32	19.85
4.38	19.84
4.5	19.85
4.62	19.85
4.68	19.86
4.8	19.86
4.92	19.85
4.98	19.86
5.1	19.86
5.22	19.86
5.28	19.86
5.4	19.86
5.52	19.87
5.58	19.87
5.7	19.87
5.82	19.88
5.88	19.89
6.0	19.88
6.12	19.89
6.18	19.89
6.3	19.89
6.42	19.89
6.48	19.89
6.6	19.89
6.72	19.89
6.78	19.89
6.9	19.89
7.02	19.89
7.08	19.89
7.2	19.89
7.32	19.90
7.38	19.90
7.5	19.91
7.62	19.91
7.68	19.91
7.8	19.91
7.92	19.92
7.98	19.92
8.1	19.91
8.22	19.92
8.28	19.91
8.4	19.92
8.52	19.92
8.58	19.92
8.7	19.92
8.82	19.92
8.88	19.92
9.0	19.93
9.12	19.93
9.18	19.92
9.3	19.92
9.42	19.92
9.48	19.92
9.6	19.93
9.72	19.92
9.78	19.92
9.9	19.92
10.02	19.93
10.08	19.93
10.2	19.92
10.32	19.93
10.38	19.92
10.5	19.92
10.62	19.93
10.68	19.93
10.8	19.93
10.92	19.94
10.98	19.93
11.1	19.93
11.22	19.93
11.28	19.93
11.4	19.93
11.52	19.93
11.58	19.93
11.7	19.93
11.82	19.93
11.88	19.93
12.0	19.94
12.12	19.93
12.18	19.93
12.3	19.94
12.42	19.94
12.48	19.94
12.6	19.94
12.72	19.94
12.78	19.94
12.9	19.94
13.02	19.94
13.08	19.94
13.2	19.95
13.32	19.94
13.38	19.94
13.5	19.94
13.62	19.94
13.68	19.94
13.8	19.94
13.92	19.95
13.98	19.94
14.1	19.94
14.22	19.95
14.28	19.95
14.4	19.95
14.52	19.95
14.58	19.94
14.7	19.96
14.82	19.95
14.88	19.95
15.0	19.95
15.12	19.96
15.18	19.95
15.3	19.96
15.42	19.95
15.48	19.96
15.6	19.95
15.72	19.95
15.78	19.95
15.9	19.95
16.02	19.96
16.08	19.96
16.2	19.96
16.32	19.96
16.38	19.96
16.5	19.96
16.62	19.96
16.68	19.96
16.8	19.96
16.92	19.96
16.98	19.96
17.1	19.96
17.22	19.96
17.28	19.96
17.4	19.96
17.52	19.96
17.58	19.96
17.7	19.96
17.82	19.96
17.88	19.96
18.0	19.96
18.12	19.96
18.18	19.96
18.3	19.96
18.42	19.96
18.48	19.96
18.6	19.97
18.72	19.96
18.78	19.96
18.9	19.96
19.02	19.96
19.08	19.96
19.2	19.96
19.32	19.96
19.38	19.96
19.5	19.96
19.62	19.95
19.68	19.96
19.8	19.96
19.92	19.96
19.98	19.96
20.1	19.96
20.22	19.96
20.28	19.96
20.4	19.95
20.52	19.96
20.58	19.96
20.7	19.96
20.82	19.96
20.88	19.96
21.0	19.96
21.12	19.95
21.18	19.96
21.3	19.95
21.42	19.96
21.48	19.96
21.6	19.96
21.72	19.96
21.78	19.96
21.9	19.96
