Vernier Format 2
3.txt 5/5/2018 10:33:33
Měření 1
Čas	Čidlo O2	
Č	Č	
min	%	

0.0	19.92	
0.1	19.93	
0.2	19.92	
0.3	19.93	
0.4	19.93	
0.5	19.93	
0.6	19.92	
0.7	19.93	
0.8	19.93	
0.9	19.93	
1.0	19.93	
1.1	19.93	
1.2	19.93	
1.3	19.93	
1.4	19.93	
1.5	19.93	
1.6	19.93	
1.7	19.93	
1.8	19.93	
1.9	19.93	
2.0	19.93	
2.1	19.93	
2.2	19.93	
2.3	19.93	
2.4	19.93	
2.5	19.93	
2.6	19.93	
2.7	19.93	
2.8	19.93	
2.9	19.93	
3.0	19.93	
3.1	19.93	
3.2	19.93	
3.3	19.93	
3.4	19.93	
3.5	19.93	
3.6	19.93	
3.7	19.93	
3.8	19.93	
3.9	19.93	
4.0	19.93	
4.1	19.93	
4.2	19.93	
4.3	19.93	
4.4	19.93	
4.5	19.93	
4.6	19.93	
4.7	19.93	
4.8	19.93	
4.9	19.93	
5.0	19.93	
5.1	19.93	
5.2	19.93	
5.3	19.93	
5.4	19.93	
5.5	19.93	
5.6	19.93	
5.7	19.93	
5.8	19.93	
5.9	19.93	
6.0	19.93	
6.1	19.93	
6.2	19.93	
6.3	19.93	
6.4	19.93	
6.5	19.93	
6.6	19.93	
6.7	19.93	
6.8	19.93	
6.9	19.93	
7.0	19.94	
7.1	19.93	
7.2	19.93	
7.3	19.93	
7.4	19.93	
7.5	19.93	
7.6	19.93	
7.7	19.93	
7.8	19.93	
7.9	19.93	
8.0	19.93	
8.1	19.93	
8.2	19.93	
8.3	19.93	
8.4	19.94	
8.5	19.93	
8.6	19.93	
8.7	19.93	
8.8	19.94	
8.9	19.93	
9.0	19.93	
9.1	19.93	
9.2	19.93	
9.3	19.93	
9.4	19.94	
9.5	19.94	
9.6	19.95	
9.7	19.94	
9.8	19.95	
9.9	19.94	
10.0	19.95	
10.1	19.95	
10.2	19.94	
10.3	19.94	
10.4	19.96	
10.5	19.96	
10.6	19.95	
10.7	19.95	
10.8	19.96	
10.9	19.96	
11.0	19.95	
11.1	19.96	
11.2	19.95	
11.3	19.96	
11.4	19.97	
11.5	19.96	
11.6	19.96	
11.7	19.97	
11.8	19.96	
11.9	19.96	
